seq_name,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,druggable
Negative_0,0.0,8.872,0.0,0.0,11.09,4.437,2.218,2.218,0.0,4.437,8.872,8.872,4.437,6.654,0.0,15.526,8.872,11.09,11.09,4.437,-14.989,-13.801,2.828,-1.527,-4.808,1.923,16.968,9.05,-7.41,-13.292,4.412,7.523,0
Negative_1,3.157,3.551,1.578,3.157,1.973,2.762,1.578,4.34,1.578,3.945,11.047,1.578,1.184,11.442,4.34,8.68,4.735,0.394,0.394,3.551,5.96,4.123,0.637,0.262,0.412,-3.148,7.271,4.61,3.786,0.487,0.3,0.337,0
Negative_2,7.79,6.179,1.612,2.955,3.223,3.492,2.955,7.253,1.074,3.223,10.208,2.955,0.806,2.417,7.522,11.013,5.104,1.612,0.806,4.567,6.03,3.731,0.217,0.954,-0.607,1.779,-3.601,-3.948,3.167,2.386,1.692,1.432,0
Negative_3,0.0,15.122,0.0,2.16,2.16,6.481,4.321,15.122,2.16,2.16,2.16,0.0,4.321,0.0,10.802,10.802,2.16,6.481,0.0,2.16,-14.836,-9.566,3.942,7.529,6.554,8.902,-10.806,-3.322,14.969,9.655,0.266,-1.86,0
Negative_4,3.146,15.735,3.146,9.44,6.294,9.44,6.294,12.588,6.294,9.44,28.321,6.294,6.294,0.0,9.44,18.881,3.146,9.44,3.146,12.588,-23.049,-10.045,-0.09,-9.686,-20.269,-22.422,-30.314,-25.112,37.758,30.404,-7.623,1.076,0
Negative_5,6.345,6.798,3.626,4.08,0.907,4.08,4.532,8.612,2.266,3.626,11.785,8.158,2.266,3.173,4.532,7.705,7.705,0.453,0.453,5.892,-7.274,1.649,-1.164,1.115,-1.552,4.898,-2.716,-0.436,-0.582,-0.97,4.753,5.286,0
Negative_6,5.027,1.006,4.021,4.021,3.016,5.027,5.027,11.058,5.027,6.031,15.079,5.027,2.01,5.027,4.021,12.063,1.006,1.006,4.021,6.031,-4.652,-3.607,-3.607,-2.614,3.189,3.921,2.718,1.255,6.168,-3.764,-2.143,-1.411,0
Negative_7,9.464,9.464,2.028,3.38,1.352,1.352,4.056,10.816,1.352,2.704,10.14,1.352,0.0,1.352,7.436,8.111,4.056,0.676,0.0,4.732,-4.946,0.251,5.784,4.443,-11.023,-2.724,5.49,4.61,-2.305,2.389,9.556,4.652,0
Negative_8,4.649,9.298,1.55,3.874,4.649,6.198,7.748,6.198,4.649,7.748,7.748,2.325,2.325,5.424,3.874,9.298,6.198,3.874,3.874,3.874,10.537,5.743,-2.424,-2.476,-2.002,-2.055,3.214,2.95,-8.693,-8.641,-1.581,0.053,0
Negative_9,6.844,8.214,0.457,4.563,3.194,3.65,5.476,11.408,1.825,0.457,3.65,2.282,1.825,1.825,7.301,6.844,2.282,5.476,0.457,4.107,-0.945,4.641,-4.723,-1.93,1.725,3.285,6.94,4.969,1.355,5.585,-1.027,-2.012,0
