seq_name,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,druggable
Positive_0,9.631,7.932,3.116,5.382,2.832,5.382,4.815,9.914,3.116,2.832,13.597,4.815,4.249,2.832,5.949,6.798,6.232,0.849,2.549,11.331,3.482,-0.171,2.626,0.514,-1.826,-0.97,-2.797,-4.167,-3.425,-0.628,-3.938,-2.854,1
Positive_1,5.952,3.052,3.206,2.289,2.442,2.595,1.374,2.747,1.069,5.8,6.258,2.9,1.374,4.121,3.206,7.174,4.426,1.374,1.526,5.189,2.383,1.123,2.11,2.178,5.684,3.574,2.893,2.995,3.199,0.374,2.178,3.233,1
Positive_2,6.342,4.281,5.708,4.122,3.489,6.025,4.281,6.025,2.695,6.342,9.831,4.122,3.013,4.757,6.025,7.134,5.866,2.22,4.598,4.598,2.334,1.218,-2.029,-2.638,1.826,0.152,0.812,1.522,0.051,-1.522,-0.66,-2.537,1
Positive_3,7.673,3.919,1.546,3.643,0.994,4.14,2.705,21.582,0.497,1.324,2.65,3.146,0.718,1.49,15.345,3.312,2.484,0.331,0.718,2.594,-1.859,2.707,-1.212,3.677,4.848,4.404,-2.505,1.333,-1.939,2.949,3.636,3.152,1
Positive_4,4.408,5.476,4.808,4.675,3.139,7.079,2.538,6.144,2.471,4.408,9.083,4.474,2.004,3.94,5.476,7.012,4.608,1.335,3.406,5.81,-0.369,0.831,-0.784,-0.369,1.615,2.446,-1.2,0.185,0.277,0.6,2.953,1.523,1
Positive_5,10.228,4.637,1.841,3.068,0.477,1.568,2.046,7.297,0.818,3.614,8.728,1.432,0.955,2.864,5.523,4.16,5.046,1.773,1.909,6.615,3.805,1.082,4.028,1.38,2.35,0.671,2.686,1.156,3.245,0.112,3.394,1.492,1
Positive_6,5.876,6.157,3.498,4.897,3.638,7.136,3.638,6.856,1.819,3.078,7.136,4.057,1.259,2.938,4.617,5.317,5.037,1.959,2.938,5.178,-0.305,3.612,-2.263,-1.61,-0.87,1.044,2.393,4.743,0.87,4.613,0.087,0.653,1
Positive_7,4.534,1.943,0.648,1.295,1.295,3.886,3.238,2.59,0.648,3.886,11.009,3.238,0.648,0.648,2.59,1.943,3.886,0.0,3.886,3.886,6.461,3.732,8.772,3.787,2.785,3.509,4.066,-1.114,3.286,-0.0,7.045,1.977,1
Positive_8,11.655,6.702,1.457,5.245,2.331,5.828,2.913,6.702,2.622,3.496,10.198,3.496,3.205,3.496,6.411,5.537,3.205,0.874,3.496,7.285,0.192,4.327,-5.913,-0.865,3.413,4.615,4.183,5.048,-0.385,-0.673,-4.712,-5.385,1
Positive_9,6.108,1.979,0.946,1.29,0.688,1.635,1.807,4.559,1.377,2.667,8.517,0.688,1.377,3.097,3.097,4.904,2.581,1.033,1.807,4.474,4.889,2.021,4.753,1.175,7.102,3.305,6.064,3.059,3.961,1.912,5.272,1.857,1
Positive_10,10.578,9.658,2.3,5.519,1.38,5.519,2.759,5.059,1.84,2.759,10.578,0.0,0.46,2.3,6.899,4.599,4.139,1.84,0.92,7.359,-3.502,-1.816,-4.54,-3.588,1.989,3.243,9.598,4.496,0.605,2.551,2.162,2.335,1
Positive_11,2.76,4.928,5.717,4.731,4.337,4.534,2.563,7.689,1.774,7.689,4.337,4.337,1.38,2.563,4.141,9.464,6.703,2.366,3.352,7.098,2.774,2.635,0.231,-1.618,-1.294,-1.341,1.017,-0.509,2.543,2.913,-0.277,0.462,1
Positive_12,7.993,7.68,2.194,8.463,2.977,4.545,4.075,10.501,2.194,2.194,9.716,3.448,1.411,6.895,9.247,6.895,7.836,2.194,4.232,6.112,-0.831,3.158,1.717,3.435,-0.277,-2.438,-3.435,-5.928,-1.108,-1.994,-3.047,-0.055,1
Positive_13,9.184,5.369,0.707,0.565,1.554,0.707,1.13,5.793,0.989,1.13,9.326,0.141,0.989,1.696,3.956,5.652,1.837,1.413,0.565,4.098,6.248,1.477,5.595,2.698,5.623,2.783,4.033,1.335,5.453,2.954,3.749,1.25,1
Positive_14,9.812,6.94,2.632,3.351,5.505,5.983,6.94,9.334,2.394,3.351,12.924,4.069,2.632,3.351,8.616,7.18,6.223,2.394,3.111,5.744,2.081,3.6,-5.793,-4.106,-4.949,-2.643,-7.93,-3.206,0.9,4.949,3.037,1.575,1
Positive_15,5.921,5.488,1.444,4.044,2.311,4.189,2.888,8.666,1.589,2.455,6.644,3.61,1.733,2.166,9.388,6.211,2.311,0.722,1.156,4.044,4.773,3.426,-0.0,0.462,0.924,0.77,1.155,3.195,3.734,4.426,-1.155,1.309,1
Positive_16,2.287,0.762,2.287,0.762,0.762,0.0,3.049,3.049,0.762,4.574,6.861,0.762,1.525,5.336,0.762,7.623,3.049,0.0,0.0,2.287,6.789,5.255,6.836,4.022,4.929,3.069,6.696,2.883,3.627,1.93,5.162,2.302,1
Positive_17,4.109,2.739,2.283,2.283,2.739,1.826,2.283,2.739,1.065,4.718,6.392,1.826,1.826,3.348,2.739,3.957,3.805,1.218,2.283,4.87,6.171,3.956,3.484,1.151,4.694,2.982,5.108,3.307,2.805,1.653,3.159,2.48,1
Positive_18,6.87,6.279,2.586,4.062,1.773,4.432,2.512,6.87,2.068,4.137,9.307,2.586,1.773,3.398,7.092,7.609,4.359,0.886,2.068,4.949,1.07,1.413,1.969,1.07,2.954,2.825,0.813,2.312,-1.156,-1.241,1.113,1.241,1
Positive_19,4.236,3.568,1.672,1.115,1.672,2.787,1.449,3.233,0.223,2.118,6.02,2.675,1.338,1.784,3.456,3.902,3.902,1.449,1.784,2.898,3.949,4.872,2.154,3.231,5.538,4.718,5.692,5.333,3.308,3.462,3.436,3.026,1
Positive_20,5.644,2.822,1.234,2.646,2.293,1.94,1.058,3.703,1.94,2.822,10.053,2.646,1.94,2.646,2.822,5.996,2.998,1.411,1.94,4.938,4.508,3.143,3.81,2.952,3.683,3.238,5.175,2.984,1.937,0.794,2.54,1.746,1
Positive_21,8.347,6.382,3.437,4.173,4.173,7.856,5.156,10.31,5.156,6.628,11.538,6.382,4.664,6.873,7.61,7.61,6.873,1.228,2.7,9.083,-3.407,-1.956,-5.994,-7.445,2.271,1.514,2.524,4.416,-2.902,-3.659,-5.994,-5.552,1
Positive_22,5.518,2.759,7.76,3.276,1.38,4.139,5.173,5.0,1.552,4.483,7.76,3.276,0.863,2.415,6.898,8.45,9.139,1.38,3.104,6.38,2.041,3.311,2.902,3.946,-1.769,0.091,-0.136,-1.224,1.179,-0.272,1.224,-1.995,1
Positive_23,4.617,3.386,2.924,1.693,2.001,1.385,1.693,2.462,0.77,4.001,7.233,2.001,0.923,2.308,1.693,4.155,4.001,1.077,2.001,4.925,3.011,1.796,4.558,2.597,7.845,4.586,6.63,4.033,5.055,1.768,1.63,1.243,1
Positive_24,8.935,4.779,1.732,3.394,0.554,1.455,1.939,6.718,0.9,3.186,8.726,1.524,2.008,3.186,6.095,4.155,5.748,2.078,1.87,7.065,2.738,0.304,2.928,0.57,4.411,2.395,1.711,0.875,3.308,0.837,2.852,1.027,1
Positive_25,8.494,6.177,10.039,4.633,1.545,5.405,6.95,2.317,2.317,6.95,21.621,5.405,3.089,3.86,9.266,5.405,8.494,1.545,0.772,3.089,0.939,-1.232,-7.218,-5.047,2.113,1.526,2.406,0.763,-2.171,-2.23,-4.93,-2.289,1
Positive_26,8.118,4.11,2.005,3.709,2.706,5.512,7.116,9.622,1.904,2.305,8.72,4.009,2.205,2.806,7.416,8.118,3.709,0.802,3.308,4.009,1.337,0.553,0.645,-1.89,3.504,2.167,-0.138,-0.092,1.337,-0.369,0.784,-0.046,1
Positive_27,8.021,5.673,4.109,4.891,2.934,7.629,6.064,8.412,4.109,5.868,12.325,4.5,2.739,4.891,8.998,8.021,6.26,1.761,5.086,8.412,-0.121,1.629,-0.362,-0.302,1.147,-1.811,-2.957,-2.957,-2.293,-4.285,-3.44,-4.949,1
Positive_28,4.549,4.724,2.274,3.849,2.624,5.948,2.974,6.123,1.05,3.149,8.048,5.249,3.149,3.499,6.823,6.299,4.199,0.175,1.925,2.799,1.668,1.986,-0.993,-1.469,1.906,4.527,3.535,3.296,1.867,0.913,0.675,2.661,1
Positive_29,6.049,2.689,3.226,2.689,2.151,2.823,2.151,3.361,1.075,4.302,5.377,1.344,1.747,3.629,4.033,5.108,3.092,2.017,1.747,5.511,2.886,1.667,1.731,1.25,4.521,2.084,3.078,4.136,4.97,1.475,4.104,3.976,1
Positive_30,13.447,5.955,3.266,3.457,2.882,6.531,3.266,9.99,1.344,4.61,8.452,5.379,1.729,4.418,4.995,5.955,4.995,1.344,2.305,8.452,2.569,2.364,-5.293,-5.139,-0.462,0.0,4.008,4.368,0.308,0.874,-3.135,-3.237,1
Positive_31,1.647,3.911,1.441,1.647,3.705,3.294,2.676,2.882,2.264,1.647,3.294,4.323,1.647,1.235,3.088,3.088,1.235,1.029,1.441,2.264,3.08,2.913,7.426,5.802,6.089,5.898,3.892,4.513,3.82,2.794,2.388,3.629,1
Positive_32,12.481,2.435,2.131,2.74,1.826,6.089,3.654,9.437,2.435,5.48,10.35,7.001,2.435,3.044,5.48,6.392,4.566,1.522,1.218,9.132,-0.2,-0.699,-3.844,-7.888,1.148,-1.148,3.195,2.297,1.997,0.849,3.095,1.348,1
Positive_33,5.318,3.546,2.511,1.773,2.068,1.773,2.216,3.397,0.886,3.25,4.579,2.659,2.364,3.546,3.397,5.613,3.988,2.216,1.477,5.17,3.705,3.211,3.52,2.161,5.897,5.187,3.736,2.501,-0.34,0.525,4.384,3.767,1
Positive_34,3.912,2.408,0.802,1.304,1.003,3.712,2.408,4.614,0.903,3.21,5.918,1.505,2.107,4.012,5.015,3.812,2.006,0.602,1.404,3.411,5.001,3.65,3.514,2.676,3.974,3.001,5.975,5.055,5.191,3.244,2.622,2.028,1
Positive_35,6.283,3.383,3.867,2.255,2.255,4.028,2.739,7.249,2.094,3.867,9.505,3.867,3.706,5.155,6.122,7.249,4.349,1.772,2.578,6.606,0.445,0.445,1.645,-0.845,2.268,-1.556,0.222,-3.024,2.312,1.69,4.669,2.801,1
Positive_36,4.418,5.386,5.386,3.314,2.9,5.109,4.005,6.213,2.071,2.624,8.562,3.176,2.624,4.833,6.766,9.389,4.695,1.795,4.281,4.833,0.693,0.785,2.171,0.693,3.603,4.85,0.37,2.263,-3.649,-1.755,-1.709,-0.693,1
Positive_37,10.712,6.484,1.409,4.792,1.691,6.484,2.255,9.303,1.973,1.128,11.84,2.537,1.973,3.664,5.638,5.074,4.51,0.282,1.691,9.021,-2.774,0.74,-1.156,-2.635,0.046,2.358,3.883,3.976,0.185,-0.37,2.404,0.878,1
Positive_38,3.356,3.691,2.349,3.188,3.02,5.033,2.852,4.362,2.349,4.195,7.718,5.033,2.181,2.349,6.711,6.711,6.04,0.168,1.846,3.188,1.794,0.725,0.267,-1.069,3.282,5.42,2.901,2.901,3.13,0.84,0.649,2.824,1
Positive_39,4.847,5.501,5.239,4.715,6.288,7.336,4.06,8.121,3.144,2.882,6.288,6.418,1.441,2.751,9.039,7.336,7.99,2.489,3.93,6.288,1.061,0.743,2.599,1.061,0.584,1.645,-3.926,-3.289,0.371,0.106,-4.085,-2.971,1
Positive_40,4.918,4.918,3.561,4.578,4.07,7.46,3.221,6.783,1.526,3.053,6.613,5.595,1.356,3.561,3.221,4.918,6.104,1.018,2.374,3.9,1.945,2.276,-0.414,0.083,2.4,4.799,0.0,0.745,-0.538,2.979,0.786,2.193,1
Positive_41,8.007,2.324,2.841,4.39,4.133,5.165,1.808,9.298,2.066,6.715,7.49,8.264,2.841,3.874,5.165,5.94,5.682,0.516,1.033,9.298,-0.387,-2.373,-0.387,-1.985,3.487,1.259,0.048,0.097,1.985,-0.969,0.726,1.646,1
Positive_42,8.322,2.774,2.171,2.05,0.965,3.257,1.206,6.393,0.603,3.618,9.89,1.568,1.327,2.654,3.257,4.222,2.895,0.603,1.086,6.393,5.677,2.447,2.838,1.044,6.166,2.121,6.395,2.382,3.622,-0.359,2.251,0.163,1
Positive_43,6.189,2.063,2.751,1.547,2.407,1.203,1.891,3.267,0.86,3.267,7.736,1.719,1.376,3.267,2.235,2.922,3.438,0.86,2.063,6.017,6.507,1.826,5.793,2.911,4.252,1.798,5.736,2.854,4.509,1.741,4.138,0.856,1
Positive_44,13.63,9.541,4.089,10.222,3.407,6.815,1.363,13.63,3.407,5.452,12.948,4.089,2.726,2.044,2.044,12.267,8.178,0.681,1.363,7.496,-5.204,0.313,-1.066,1.129,-4.828,0.878,1.63,1.63,-11.285,-3.636,-4.514,-0.439,1
Positive_45,10.279,6.472,2.284,4.569,0.762,3.807,2.284,8.376,3.427,2.665,8.376,1.523,2.665,4.569,7.234,5.711,4.569,2.284,3.045,6.092,4.14,-2.138,-3.685,-4.823,1.501,-0.091,9.145,5.96,2.138,1.046,-1.592,-2.593,1
Positive_46,4.863,3.28,2.601,1.81,1.922,2.94,1.922,2.262,0.905,3.167,5.881,4.298,1.244,1.922,3.393,4.637,4.863,1.471,2.488,4.298,4.633,5.144,3.49,3.67,3.189,3.4,3.941,2.978,3.249,2.377,1.775,1.986,1
Positive_47,5.001,4.501,4.501,5.001,2.834,4.501,3.834,5.668,2.834,3.668,9.168,2.834,2.501,5.168,5.501,8.502,3.168,2.334,3.834,2.834,5.467,4.365,-0.441,-0.705,-1.014,0.265,-0.132,0.705,1.587,-0.22,1.411,0.529,1
Positive_48,6.06,6.293,4.429,4.894,1.632,2.564,4.661,7.691,2.097,3.962,9.789,2.564,2.331,3.496,7.925,7.225,3.496,0.699,3.962,6.993,1.113,0.232,-0.881,2.273,1.391,1.948,-0.232,-1.577,-0.186,-0.046,1.809,1.391,1
Positive_49,8.149,7.477,2.353,4.2,2.437,6.553,5.965,7.813,2.1,3.193,10.753,3.109,1.428,3.948,8.988,6.804,5.376,1.765,2.52,6.132,-1.971,-1.769,0.354,-0.253,2.425,2.173,1.364,0.101,-0.808,0.91,-2.577,-1.011,1
Positive_50,3.667,4.334,3.835,4.834,3.501,4.334,3.835,5.835,2.001,4.501,8.836,4.834,2.333,2.834,3.835,6.002,5.001,1.5,2.333,6.669,2.164,0.509,-0.127,-2.97,1.485,1.782,3.734,1.655,3.861,3.521,0.17,-0.636,1
Positive_51,6.011,4.732,2.238,2.558,2.174,3.837,2.43,5.755,1.663,3.262,9.656,2.814,1.727,3.197,3.197,4.029,3.709,0.512,2.174,5.883,2.54,1.682,3.649,2.504,2.683,2.147,3.578,3.757,2.075,1.574,1.216,1.038,1
Positive_52,5.377,3.479,3.795,4.111,5.693,3.795,3.479,4.744,3.795,0.948,8.539,4.744,2.846,2.214,3.795,5.693,4.111,4.427,1.898,3.163,1.371,1.169,-1.21,-4.032,5.323,3.065,4.194,5.403,2.661,-0.323,0.766,0.968,1
Positive_53,2.244,4.167,3.206,3.847,1.924,4.167,3.206,7.373,0.962,3.847,5.45,3.526,1.603,0.641,3.847,4.167,2.885,1.282,3.526,4.488,4.081,6.47,5.408,5.242,2.522,4.346,1.261,-0.498,0.199,2.09,0.962,1.559,1
Positive_54,4.942,8.238,2.746,1.647,2.197,2.197,2.197,6.041,1.647,1.647,4.394,7.139,0.549,0.549,3.844,3.295,4.394,0.0,2.197,8.238,-3.575,1.328,1.124,1.907,4.528,4.494,-3.439,-2.213,7.457,6.469,7.423,6.401,1
Positive_55,5.745,4.667,3.231,6.822,1.077,6.822,1.795,12.925,2.872,8.258,11.847,8.616,1.436,3.231,8.258,7.18,7.898,0.718,3.231,8.976,-1.734,0.578,-1.156,-2.197,2.543,5.145,-1.272,-3.121,-4.798,-0.694,-5.376,-3.526,1
Positive_56,7.742,5.419,0.774,3.096,0.774,6.967,2.323,11.612,3.096,3.096,11.612,0.774,2.323,6.193,3.87,7.742,11.612,3.096,5.419,6.193,0.363,-0.571,-1.297,-4.201,2.645,-2.593,2.178,-0.052,3.786,0.207,0.934,-5.135,1
Positive_57,7.469,4.609,0.953,1.589,1.748,1.748,1.43,3.814,1.43,1.907,7.788,0.636,1.589,2.225,4.132,5.562,2.702,1.748,1.113,4.768,7.341,4.511,3.833,1.828,4.186,3.597,3.626,2.948,2.388,1.091,3.096,2.594,1
Positive_58,4.636,4.476,1.599,1.279,2.238,2.078,1.279,3.357,1.119,1.758,9.432,1.279,2.078,3.997,2.877,5.275,2.238,0.639,1.919,3.836,4.505,2.755,1.148,0.545,5.997,4.419,6.743,3.931,4.935,2.755,2.869,2.009,1
Positive_59,6.439,6.944,4.04,2.777,2.525,3.283,4.419,6.691,5.682,3.535,12.878,4.04,1.263,5.05,8.333,10.353,4.924,2.02,3.662,6.186,1.733,2.153,-3.571,-2.574,-2.994,-2.679,3.992,2.468,-1.891,-0.893,-0.578,-0.21,1
Positive_60,4.317,4.157,2.718,2.079,2.558,3.517,3.197,3.837,2.238,4.157,10.072,1.759,1.759,4.157,2.878,5.596,2.558,1.918,1.918,4.956,3.517,2.392,0.598,-0.879,4.889,1.829,4.291,2.11,4.151,2.146,3.271,1.337,1
Positive_61,4.682,5.375,2.255,3.641,4.508,5.202,3.989,7.804,2.601,2.948,8.15,3.295,1.041,2.427,4.162,5.375,4.162,1.56,2.081,5.549,4.202,4.687,-0.646,0.202,2.707,3.596,-0.525,1.253,-1.172,2.02,0.929,1.939,1
Positive_62,12.651,4.465,3.349,7.07,1.488,5.396,3.535,10.232,3.907,8.186,7.628,3.162,2.977,2.604,5.209,4.278,7.628,1.303,1.674,8.744,-3.323,-1.53,-0.633,-3.006,-1.688,-3.006,1.108,-0.897,1.793,2.004,1.53,2.162,1
