seq_name,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,druggable
Negative_0,6.939,2.91,2.015,0.896,0.0,3.581,14.549,8.282,1.119,5.148,3.358,2.015,2.686,0.447,4.477,4.029,6.043,0.0,1.119,8.058,0.117,4.078,3.767,3.262,1.437,-0.078,0.388,0.388,2.99,0.854,2.913,2.214,0
Negative_1,6.532,3.733,6.221,3.111,2.488,2.8,4.355,6.221,1.555,4.044,4.977,9.954,2.178,6.532,12.753,12.443,5.599,0.622,4.044,3.733,5.143,2.753,-3.688,-0.623,-4.052,-1.247,-1.091,-1.974,-2.857,-2.026,2.545,3.221,0
Negative_2,6.215,3.418,0.932,4.662,9.323,5.905,5.283,4.351,1.865,3.73,9.323,5.905,2.797,3.73,6.215,3.418,5.593,1.554,2.175,4.351,2.995,1.543,2.813,2.858,-2.949,-3.358,-2.042,1.679,3.176,0.862,0.907,0.771,0
Negative_3,10.111,9.047,1.331,6.917,2.395,9.579,6.652,9.844,3.725,2.927,15.432,4.789,0.799,4.257,8.515,10.377,2.927,1.064,3.459,9.312,-0.617,2.346,-2.84,0.617,3.086,3.272,-4.691,-0.494,-6.543,-6.667,-6.049,-4.877,0
Negative_4,10.664,7.35,1.73,3.17,3.459,5.621,4.9,6.485,2.018,2.305,8.214,5.477,1.441,2.882,7.494,8.647,5.044,1.009,3.17,6.196,0.438,2.772,-1.848,-0.097,-0.195,1.946,1.265,4.621,-0.632,1.411,-4.037,-2.918,0
Negative_5,4.127,6.517,2.824,6.734,2.172,7.386,5.649,5.214,3.259,4.997,14.773,8.255,3.259,3.475,3.475,8.472,2.607,0.652,3.693,6.734,0.991,1.981,-1.356,1.877,-1.825,0.73,1.356,1.46,-3.858,0.417,-3.076,-2.972,0
Negative_6,7.929,5.883,2.558,6.139,1.023,5.883,5.116,9.208,3.069,5.628,11.51,6.906,3.069,5.883,6.395,6.906,5.628,1.535,3.582,8.953,-1.918,-3.158,-4.005,-6.655,0.79,0.282,0.959,1.41,-3.215,-4.117,3.497,3.328,0
Negative_7,4.098,6.148,4.44,6.148,5.464,5.806,5.123,4.098,2.39,5.464,8.197,6.489,1.708,4.44,5.123,8.197,5.806,2.733,1.708,8.88,2.203,1.947,-3.637,-4.764,4.457,1.639,1.998,-0.82,-2.203,-2.357,-2.254,1.332,0
Negative_8,4.36,4.162,1.784,3.963,0.594,4.293,3.501,3.567,0.792,1.784,3.435,3.501,1.123,1.387,2.51,5.285,2.444,0.462,2.774,2.114,4.468,5.249,1.857,4.361,3.93,5.814,1.131,3.445,2.853,4.549,3.822,4.684,0
Negative_9,5.21,5.21,2.404,5.411,2.003,6.212,4.008,6.813,2.003,5.01,7.815,6.412,2.605,2.805,5.611,4.81,3.807,0.601,3.006,5.01,0.39,1.996,-2.516,-0.39,5.206,2.343,0.521,-0.781,-1.649,-0.694,3.557,5.249,0
Negative_10,6.938,5.306,1.734,3.571,2.041,6.836,4.489,6.53,2.245,1.734,9.182,3.979,1.02,2.142,6.428,8.775,3.878,0.204,1.02,4.693,1.82,3.765,-0.29,0.786,2.151,4.013,-1.903,0.993,2.276,2.938,-0.579,1.283,0
