seq_name,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,druggable
Positive_0,5.352,6.509,5.785,6.798,1.302,6.942,3.906,7.232,2.025,5.496,6.942,5.496,2.893,4.629,4.773,6.653,6.509,2.169,4.195,10.269,-1.482,1.271,0.9,1.641,-4.182,-2.17,0.688,-0.212,-2.17,-1.588,0.847,0.582,1
Positive_1,10.226,1.933,3.221,3.06,1.047,3.462,2.819,9.421,1.288,5.637,9.583,4.993,2.819,2.899,4.268,5.073,5.718,0.322,2.819,6.845,2.93,-0.044,-0.131,-1.968,3.148,1.093,3.017,1.443,0.875,-2.011,3.061,1.137,1
Positive_2,6.214,4.143,2.762,2.072,0.691,4.143,5.523,4.143,2.072,0.0,7.595,6.214,2.072,2.762,7.595,8.286,4.143,0.0,2.072,2.072,-3.579,-1.23,0.597,1.79,7.159,6.6,-0.895,-1.715,9.135,9.582,-2.908,0.895,1
Positive_3,4.847,2.751,2.227,2.62,1.703,1.048,1.965,4.847,2.227,3.668,7.205,2.358,1.048,4.192,2.751,2.751,3.275,2.62,3.799,4.323,3.671,2.862,1.493,0.373,5.383,4.107,3.516,4.138,2.862,2.147,4.418,2.8,1
Positive_4,7.887,4.524,3.712,5.336,1.508,7.191,3.364,9.047,3.48,7.539,11.715,6.496,3.596,2.668,5.568,6.727,5.336,0.696,4.176,6.843,2.041,-0.376,-4.672,-3.437,-1.933,-1.504,2.041,1.45,-0.752,-0.967,0.054,0.644,1
Positive_5,5.118,5.308,3.222,4.739,2.464,8.342,3.602,5.308,1.896,3.222,8.91,6.635,1.896,5.308,4.36,6.825,5.118,0.758,3.981,5.877,3.019,4.134,-3.994,-0.65,2.462,1.068,0.697,2.044,-3.669,-0.557,-0.093,2.647,1
Positive_6,5.384,5.652,2.961,5.922,1.615,5.922,4.307,5.922,2.961,4.845,9.96,7.537,1.345,3.499,4.037,6.191,4.576,1.345,5.114,6.461,-2.58,0.334,-4.634,-4.539,-0.669,0.382,0.812,0.764,4.204,6.211,1.911,2.246,1
Positive_7,3.815,7.63,0.763,3.815,3.052,7.63,3.815,6.867,3.052,6.867,4.577,8.392,2.289,3.052,5.341,0.763,3.815,1.526,3.052,0.763,0.849,1.294,-4.084,-0.283,1.375,2.992,-0.526,7.764,-0.526,-1.375,5.944,5.702,1
Positive_8,7.559,8.314,3.023,4.535,4.535,6.047,3.779,10.581,3.779,3.779,6.047,4.535,1.512,3.779,3.023,2.267,6.047,0.0,3.023,7.559,-3.093,0.047,-2.249,0.609,0.141,2.109,4.311,1.453,-2.39,1.078,4.405,-0.141,1
Positive_9,3.414,2.049,3.414,2.276,1.593,4.097,1.821,2.732,3.642,4.78,7.056,3.869,1.366,5.918,3.186,2.504,3.414,2.504,4.552,2.504,3.068,1.067,0.4,0.1,5.569,4.368,3.901,3.768,2.467,-0.133,5.035,3.701,1
