seq_name,_PolarizabilityC1,_PolarizabilityC2,_PolarizabilityC3,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC1,_SecondaryStrC2,_SecondaryStrC3,_ChargeC1,_ChargeC2,_ChargeC3,_PolarityC1,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_HydrophobicityC3,_PolarizabilityT12,_PolarizabilityT13,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SolventAccessibilityT23,_SecondaryStrT12,_SecondaryStrT13,_SecondaryStrT23,_ChargeT12,_ChargeT13,_ChargeT23,_PolarityT12,_PolarityT13,_PolarityT23,_NormalizedVDWVT12,_NormalizedVDWVT13,_NormalizedVDWVT23,_HydrophobicityT12,_HydrophobicityT13,_HydrophobicityT23,_PolarizabilityD1001,_PolarizabilityD1025,_PolarizabilityD1050,_PolarizabilityD1075,_PolarizabilityD1100,_PolarizabilityD2001,_PolarizabilityD2025,_PolarizabilityD2050,_PolarizabilityD2075,_PolarizabilityD2100,_PolarizabilityD3001,_PolarizabilityD3025,_PolarizabilityD3050,_PolarizabilityD3075,_PolarizabilityD3100,_SolventAccessibilityD1001,_SolventAccessibilityD1025,_SolventAccessibilityD1050,_SolventAccessibilityD1075,_SolventAccessibilityD1100,_SolventAccessibilityD2001,_SolventAccessibilityD2025,_SolventAccessibilityD2050,_SolventAccessibilityD2075,_SolventAccessibilityD2100,_SolventAccessibilityD3001,_SolventAccessibilityD3025,_SolventAccessibilityD3050,_SolventAccessibilityD3075,_SolventAccessibilityD3100,_SecondaryStrD1001,_SecondaryStrD1025,_SecondaryStrD1050,_SecondaryStrD1075,_SecondaryStrD1100,_SecondaryStrD2001,_SecondaryStrD2025,_SecondaryStrD2050,_SecondaryStrD2075,_SecondaryStrD2100,_SecondaryStrD3001,_SecondaryStrD3025,_SecondaryStrD3050,_SecondaryStrD3075,_SecondaryStrD3100,_ChargeD1001,_ChargeD1025,_ChargeD1050,_ChargeD1075,_ChargeD1100,_ChargeD2001,_ChargeD2025,_ChargeD2050,_ChargeD2075,_ChargeD2100,_ChargeD3001,_ChargeD3025,_ChargeD3050,_ChargeD3075,_ChargeD3100,_PolarityD1001,_PolarityD1025,_PolarityD1050,_PolarityD1075,_PolarityD1100,_PolarityD2001,_PolarityD2025,_PolarityD2050,_PolarityD2075,_PolarityD2100,_PolarityD3001,_PolarityD3025,_PolarityD3050,_PolarityD3075,_PolarityD3100,_NormalizedVDWVD1001,_NormalizedVDWVD1025,_NormalizedVDWVD1050,_NormalizedVDWVD1075,_NormalizedVDWVD1100,_NormalizedVDWVD2001,_NormalizedVDWVD2025,_NormalizedVDWVD2050,_NormalizedVDWVD2075,_NormalizedVDWVD2100,_NormalizedVDWVD3001,_NormalizedVDWVD3025,_NormalizedVDWVD3050,_NormalizedVDWVD3075,_NormalizedVDWVD3100,_HydrophobicityD1001,_HydrophobicityD1025,_HydrophobicityD1050,_HydrophobicityD1075,_HydrophobicityD1100,_HydrophobicityD2001,_HydrophobicityD2025,_HydrophobicityD2050,_HydrophobicityD2075,_HydrophobicityD2100,_HydrophobicityD3001,_HydrophobicityD3025,_HydrophobicityD3050,_HydrophobicityD3075,_HydrophobicityD3100,druggable
Positive_0,0.307,0.429,0.264,0.41,0.335,0.255,0.378,0.327,0.295,0.113,0.757,0.13,0.358,0.288,0.354,0.365,0.372,0.264,0.335,0.347,0.318,0.25,0.174,0.209,0.285,0.222,0.167,0.241,0.222,0.189,0.171,0.029,0.193,0.209,0.256,0.215,0.279,0.211,0.172,0.233,0.219,0.23,0.273,28.552,50.273,72.541,99.863,0.41,24.18,48.77,76.093,99.727,0.137,22.541,50.683,74.863,100.0,1.093,28.142,49.863,73.77,99.18,0.41,23.497,48.77,73.087,99.59,0.137,23.634,51.093,76.366,100.0,0.137,25.956,55.601,78.962,100.0,0.546,24.863,49.317,75.273,99.18,0.273,24.044,45.355,69.809,99.863,0.82,18.852,49.727,78.005,99.59,0.137,25.41,50.546,75.137,100.0,0.41,26.093,48.087,69.672,98.77,0.137,25.683,48.361,75.137,100.0,0.273,24.454,52.186,75.41,99.863,0.41,23.497,49.454,74.044,99.59,0.273,25.82,49.59,72.541,99.863,0.41,25.137,49.317,76.23,99.317,0.137,22.541,50.683,74.863,100.0,0.41,23.497,48.77,73.087,99.59,0.273,24.454,50.956,74.863,99.863,0.137,26.503,50.546,76.503,100.0,1
Positive_1,0.383,0.422,0.195,0.526,0.223,0.251,0.424,0.289,0.286,0.079,0.846,0.075,0.366,0.397,0.238,0.444,0.361,0.195,0.223,0.444,0.333,0.322,0.147,0.161,0.221,0.253,0.112,0.22,0.241,0.178,0.124,0.016,0.126,0.3,0.179,0.169,0.317,0.175,0.133,0.179,0.154,0.297,0.184,26.427,51.105,74.217,99.724,0.276,24.401,51.75,76.888,99.908,0.092,22.928,43.186,71.547,100.0,0.184,24.954,52.578,74.401,99.448,0.276,19.245,38.214,78.821,100.0,0.092,30.018,50.552,73.941,99.816,0.092,23.941,48.158,72.007,100.0,0.645,27.256,49.724,75.506,99.816,0.276,25.967,51.381,76.427,99.724,0.552,15.654,34.899,68.048,100.0,0.092,25.967,51.657,74.77,99.908,2.855,25.506,37.937,83.886,99.632,0.092,27.256,53.591,75.691,99.816,0.184,26.151,50.829,73.112,99.724,0.276,19.337,39.042,78.729,100.0,0.184,26.151,51.013,74.217,99.724,0.276,24.77,52.118,77.164,99.908,0.092,22.928,43.186,71.547,100.0,0.276,19.245,38.214,78.821,100.0,0.184,26.519,51.013,72.836,99.816,0.092,25.599,53.039,75.691,99.448,1
Positive_2,0.333,0.407,0.259,0.315,0.333,0.352,0.509,0.157,0.333,0.139,0.778,0.083,0.231,0.407,0.361,0.444,0.296,0.259,0.333,0.463,0.204,0.28,0.187,0.15,0.262,0.187,0.224,0.084,0.402,0.103,0.224,0.019,0.15,0.187,0.178,0.28,0.29,0.234,0.103,0.327,0.159,0.15,1.852,25.0,37.963,72.222,97.222,3.704,22.222,50.0,69.444,98.148,0.926,24.074,61.111,77.778,100.0,1.852,12.037,26.852,58.333,94.444,7.407,34.259,48.148,72.222,99.074,0.926,35.185,60.185,75.926,100.0,0.926,16.667,39.815,70.37,100.0,4.63,23.148,61.111,73.148,87.037,3.704,36.111,53.704,79.63,98.148,7.407,14.815,46.296,66.667,99.074,0.926,23.148,49.074,74.074,100.0,19.444,34.259,59.259,72.222,96.296,0.926,16.667,31.481,75.926,88.889,1.852,26.852,45.37,64.815,98.148,7.407,34.259,51.852,72.222,100.0,1.852,26.852,49.074,72.222,98.148,5.556,21.296,43.519,69.444,96.296,0.926,24.074,61.111,77.778,100.0,7.407,34.259,48.148,72.222,99.074,1.852,27.778,50.926,73.148,100.0,0.926,13.889,29.63,77.778,88.889,1
Positive_3,0.295,0.4,0.305,0.537,0.208,0.255,0.377,0.379,0.244,0.082,0.859,0.059,0.459,0.297,0.244,0.366,0.328,0.305,0.208,0.394,0.398,0.245,0.203,0.219,0.236,0.264,0.093,0.247,0.177,0.207,0.137,0.015,0.099,0.27,0.194,0.16,0.238,0.247,0.175,0.175,0.154,0.31,0.421,19.579,43.789,75.579,99.579,1.263,24.842,50.526,71.789,99.789,0.211,31.789,52.211,77.263,100.0,0.421,25.684,49.474,72.842,100.0,0.842,22.526,49.684,76.211,98.737,0.211,23.579,47.789,74.947,99.368,0.211,24.0,53.895,77.684,99.158,1.895,24.842,48.842,71.158,100.0,1.053,24.421,47.579,74.737,99.579,0.842,20.0,54.316,79.158,98.737,0.211,25.053,48.842,72.842,100.0,3.368,17.684,54.947,76.842,96.842,0.211,26.526,51.579,72.842,100.0,0.421,19.579,42.737,72.421,99.579,0.842,27.368,54.526,76.842,98.737,0.421,19.579,44.0,76.632,99.579,1.263,26.526,51.579,71.579,99.789,0.211,31.789,52.211,77.263,100.0,0.842,22.526,49.684,76.211,98.737,0.421,23.579,48.421,77.053,99.579,0.211,25.684,49.474,71.789,100.0,1
Positive_4,0.32,0.442,0.239,0.446,0.285,0.269,0.449,0.268,0.283,0.103,0.781,0.117,0.361,0.322,0.317,0.386,0.376,0.239,0.285,0.393,0.322,0.305,0.158,0.196,0.249,0.251,0.156,0.217,0.255,0.174,0.15,0.031,0.183,0.263,0.218,0.195,0.308,0.188,0.165,0.227,0.177,0.274,0.756,27.43,51.188,76.242,99.676,0.216,26.026,50.216,72.894,100.0,0.108,19.546,46.004,74.73,99.892,0.216,23.434,51.296,75.27,99.784,0.324,24.73,49.676,74.514,99.892,0.108,28.402,49.028,74.19,100.0,0.108,20.95,50.0,77.43,99.892,0.432,27.106,48.38,72.03,99.784,0.864,27.646,52.7,75.162,100.0,0.648,14.255,49.676,76.35,99.892,0.108,24.838,49.784,74.622,100.0,3.348,30.238,50.432,75.378,98.704,0.108,25.27,51.512,74.082,99.784,0.756,26.458,51.188,76.242,100.0,0.324,21.49,47.408,72.894,99.892,0.756,28.294,49.352,75.486,100.0,0.216,25.27,51.296,73.434,99.784,0.108,19.546,46.004,74.73,99.892,0.324,24.73,49.676,74.514,99.892,0.54,25.81,49.244,75.702,100.0,0.108,23.758,51.512,74.082,99.784,1
Positive_5,0.292,0.431,0.278,0.398,0.343,0.259,0.449,0.288,0.263,0.129,0.731,0.141,0.349,0.288,0.363,0.365,0.357,0.278,0.343,0.351,0.306,0.243,0.174,0.217,0.245,0.227,0.188,0.233,0.243,0.145,0.188,0.033,0.196,0.229,0.241,0.204,0.26,0.219,0.172,0.229,0.204,0.245,0.816,21.02,55.306,76.939,99.796,0.408,26.327,50.0,75.306,100.0,0.204,22.245,45.918,72.041,99.388,0.816,25.714,54.49,75.714,100.0,0.408,22.653,44.082,75.306,99.184,0.204,26.531,48.776,70.816,99.388,0.204,23.061,48.571,75.102,99.592,1.633,29.184,51.429,76.735,100.0,0.612,19.592,47.347,70.816,99.796,2.245,17.959,39.184,67.551,98.571,0.204,25.714,52.449,75.306,100.0,4.286,28.367,44.082,71.429,97.755,0.204,27.551,51.429,74.898,100.0,0.612,21.02,52.653,73.673,99.796,0.408,22.653,44.49,74.082,99.184,0.612,23.878,55.306,75.714,99.796,0.408,25.102,48.98,75.918,100.0,0.204,22.245,45.918,72.041,99.388,0.408,22.653,44.082,75.306,99.184,0.612,26.735,52.653,73.061,99.796,0.204,25.714,52.449,74.898,100.0,1
Positive_6,0.293,0.42,0.287,0.408,0.338,0.254,0.451,0.287,0.262,0.138,0.738,0.124,0.358,0.273,0.369,0.352,0.361,0.287,0.338,0.358,0.304,0.209,0.153,0.26,0.305,0.203,0.161,0.243,0.192,0.164,0.198,0.037,0.201,0.178,0.294,0.201,0.24,0.178,0.234,0.249,0.218,0.198,0.563,19.155,37.465,67.606,98.31,0.845,31.549,56.056,76.338,99.718,0.282,23.662,50.986,77.465,100.0,0.563,19.437,45.915,73.239,99.718,1.127,30.141,53.803,76.338,100.0,0.282,27.324,49.014,70.423,97.183,0.282,20.845,48.732,74.085,100.0,3.099,27.606,54.366,76.901,99.437,3.38,27.887,43.38,70.423,98.31,1.127,16.338,50.704,75.211,100.0,0.282,24.507,48.451,73.239,99.718,13.239,33.521,58.592,76.338,98.31,0.282,26.197,51.831,76.901,99.718,0.563,19.155,37.465,67.606,98.028,1.127,28.169,53.239,76.338,100.0,0.563,20.845,40.563,68.732,98.31,0.845,32.113,54.93,76.901,99.718,0.282,23.662,50.986,77.465,100.0,1.127,30.141,53.803,76.338,100.0,0.563,21.972,41.127,69.577,98.028,0.282,23.38,51.549,76.901,99.718,1
Positive_7,0.236,0.406,0.358,0.377,0.396,0.226,0.509,0.274,0.217,0.198,0.66,0.142,0.311,0.255,0.434,0.34,0.302,0.358,0.396,0.33,0.274,0.162,0.219,0.305,0.333,0.124,0.124,0.305,0.219,0.133,0.267,0.076,0.19,0.171,0.314,0.2,0.2,0.305,0.219,0.2,0.257,0.152,4.717,21.698,45.283,71.698,96.226,1.887,19.811,50.0,74.528,100.0,0.943,26.415,50.943,75.472,99.057,2.83,18.868,41.509,63.208,96.226,4.717,23.585,53.774,75.472,99.057,0.943,25.472,56.604,88.679,100.0,0.943,27.358,50.943,71.698,99.057,2.83,18.868,44.34,60.377,93.396,1.887,14.151,45.283,88.679,100.0,7.547,30.189,65.094,76.415,99.057,0.943,20.755,44.34,72.642,100.0,4.717,22.642,50.0,58.491,97.17,0.943,16.038,38.679,60.377,93.396,1.887,24.528,47.17,87.736,100.0,4.717,26.415,53.774,76.415,99.057,1.887,28.302,49.057,79.245,100.0,3.774,18.868,44.34,64.151,97.17,0.943,26.415,50.943,75.472,99.057,4.717,23.585,53.774,75.472,99.057,1.887,28.302,47.17,87.736,100.0,0.943,13.208,37.736,60.377,93.396,1
Positive_8,0.331,0.403,0.266,0.468,0.323,0.21,0.444,0.306,0.25,0.137,0.75,0.113,0.323,0.315,0.363,0.411,0.323,0.266,0.323,0.387,0.29,0.26,0.179,0.244,0.301,0.171,0.106,0.26,0.228,0.179,0.211,0.049,0.163,0.228,0.252,0.179,0.228,0.244,0.179,0.179,0.228,0.252,1.613,20.161,40.323,72.581,93.548,6.452,25.806,53.226,68.548,97.581,0.806,22.581,42.742,79.032,100.0,1.613,19.355,50.806,72.581,95.968,7.258,35.484,49.194,66.935,97.581,0.806,26.613,41.129,80.645,100.0,0.806,15.323,47.581,75.0,100.0,4.839,28.226,50.806,70.161,95.968,9.677,26.613,51.613,73.387,93.548,7.258,20.968,41.935,49.194,96.774,0.806,22.581,51.613,75.806,100.0,12.903,37.903,52.419,63.71,85.484,0.806,21.774,45.968,70.161,95.968,1.613,17.742,34.677,73.387,93.548,7.258,35.484,50.0,77.419,100.0,1.613,19.355,40.323,73.387,93.548,8.065,31.452,53.226,67.742,97.581,0.806,22.581,42.742,79.032,100.0,7.258,35.484,49.194,66.935,97.581,1.613,23.387,54.839,77.419,100.0,0.806,18.548,45.968,68.548,95.968,1
Positive_9,0.215,0.427,0.358,0.457,0.263,0.28,0.41,0.379,0.212,0.089,0.816,0.096,0.454,0.229,0.317,0.287,0.355,0.358,0.263,0.352,0.386,0.158,0.144,0.277,0.202,0.264,0.171,0.298,0.168,0.182,0.116,0.021,0.161,0.229,0.281,0.113,0.209,0.195,0.226,0.185,0.188,0.281,0.683,17.406,60.751,79.181,99.659,1.365,21.843,43.003,70.307,100.0,0.341,29.01,52.218,75.085,99.317,0.683,23.891,49.488,71.672,98.294,1.365,27.304,45.734,80.546,100.0,0.341,21.16,52.218,77.816,99.659,0.341,26.621,53.242,72.355,100.0,1.024,26.28,48.464,73.038,99.659,1.365,14.334,45.392,80.546,96.246,11.604,29.01,53.925,84.642,99.317,0.341,22.867,48.805,73.379,99.659,1.706,29.352,51.195,77.133,100.0,0.341,24.573,46.758,70.307,98.294,0.683,17.065,49.147,78.157,99.659,1.365,29.01,53.925,80.546,100.0,0.683,20.478,49.488,78.157,99.659,1.365,20.137,47.099,72.014,100.0,0.341,29.01,52.218,75.085,99.317,1.365,27.304,45.734,80.546,100.0,0.683,21.16,53.584,78.157,99.659,0.341,24.232,47.099,70.307,98.294,1
