seq_name,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,druggable
Negative_0,0.0,0.941,0.0,0.0,1.176,0.471,0.235,0.235,0.0,0.471,0.941,0.941,0.471,0.706,0.0,1.647,0.941,1.176,1.176,0.471,16.745,14.801,14.321,13.397,15.035,13.703,0
Negative_1,0.665,0.748,0.333,0.665,0.416,0.582,0.333,0.914,0.333,0.831,2.328,0.333,0.249,2.411,0.914,1.829,0.998,0.083,0.083,0.748,13.474,14.359,15.275,12.882,13.996,14.217,0
Negative_2,1.414,1.122,0.293,0.536,0.585,0.634,0.536,1.316,0.195,0.585,1.853,0.536,0.146,0.439,1.365,1.999,0.926,0.293,0.146,0.829,12.836,14.174,14.56,15.009,13.568,14.103,0
Negative_3,0.0,1.825,0.0,0.261,0.261,0.782,0.521,1.825,0.261,0.261,0.261,0.0,0.521,0.0,1.303,1.303,0.261,0.782,0.0,0.261,17.676,14.288,12.899,16.249,13.086,15.116,0
Negative_4,0.219,1.097,0.219,0.658,0.439,0.658,0.439,0.877,0.439,0.658,1.974,0.439,0.439,0.0,0.658,1.316,0.219,0.658,0.219,0.877,15.834,14.465,16.597,16.184,10.014,14.403,0
Negative_5,0.949,1.017,0.542,0.61,0.136,0.61,0.678,1.288,0.339,0.542,1.763,1.22,0.339,0.475,0.678,1.152,1.152,0.068,0.068,0.881,14.521,14.093,14.296,14.826,14.26,13.498,0
Negative_6,0.819,0.164,0.655,0.655,0.492,0.819,0.819,1.802,0.819,0.983,2.457,0.819,0.328,0.819,0.655,1.966,0.164,0.164,0.655,0.983,14.96,13.801,13.179,13.069,13.742,14.21,0
Negative_7,1.575,1.575,0.337,0.562,0.225,0.225,0.675,1.8,0.225,0.45,1.687,0.225,0.0,0.225,1.237,1.35,0.675,0.112,0.0,0.787,15.05,13.069,16.445,13.069,14.701,13.718,0
Negative_8,0.585,1.17,0.195,0.488,0.585,0.78,0.975,0.78,0.585,0.975,0.975,0.293,0.293,0.683,0.488,1.17,0.78,0.488,0.488,0.488,13.801,14.981,14.795,13.661,16.115,13.383,0
Negative_9,1.03,1.237,0.069,0.687,0.481,0.55,0.824,1.717,0.275,0.069,0.55,0.344,0.275,0.275,1.099,1.03,0.344,0.824,0.069,0.618,15.278,14.783,14.134,13.868,13.992,15.581,0
Negative_10,0.442,0.0,1.105,0.884,0.663,0.221,1.105,0.884,0.0,2.431,3.094,0.442,0.442,2.431,0.221,1.768,1.768,0.221,0.663,2.431,14.745,12.963,12.157,12.984,13.949,11.987,0
Negative_11,1.13,0.807,0.0,0.484,0.484,0.645,0.0,1.291,0.645,0.323,2.259,0.484,0.161,0.807,1.13,1.614,0.807,0.484,0.323,1.291,12.407,14.804,15.312,14.083,13.833,14.394,0
Negative_12,0.965,1.379,0.138,0.689,0.551,1.517,0.827,1.379,0.551,0.551,1.241,0.414,0.276,0.276,0.551,0.827,0.414,0.276,0.138,0.965,13.054,14.426,14.586,14.308,14.76,14.941,0
Negative_13,1.423,0.854,0.569,0.569,0.569,0.854,1.138,1.992,0.569,0.854,1.138,0.854,0.285,0.285,1.423,1.423,1.138,0.0,0.569,0.0,15.159,14.062,11.561,14.045,14.367,14.301,0
Negative_14,1.625,0.758,0.217,0.541,0.866,0.433,0.65,1.408,0.866,0.325,1.3,0.325,0.65,0.433,3.033,1.949,0.758,0.65,0.108,0.65,13.413,13.957,14.01,13.659,13.668,13.747,0
