seq_name,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,druggable
Negative_0,1.712,0.718,0.497,0.221,0.0,0.884,3.59,2.044,0.276,1.27,0.829,0.497,0.663,0.11,1.105,0.994,1.491,0.0,0.276,1.989,13.158,12.429,13.809,14.183,13.781,13.474,0
Negative_1,1.012,0.578,0.964,0.482,0.385,0.434,0.675,0.964,0.241,0.626,0.771,1.542,0.337,1.012,1.976,1.928,0.867,0.096,0.626,0.578,12.772,14.896,14.349,14.55,14.582,12.756,0
Negative_2,1.098,0.604,0.165,0.823,1.646,1.043,0.933,0.768,0.329,0.659,1.646,1.043,0.494,0.659,1.098,0.604,0.988,0.274,0.384,0.768,13.452,13.324,15.327,14.286,13.621,13.965,0
Negative_3,1.143,1.023,0.15,0.782,0.271,1.083,0.752,1.113,0.421,0.331,1.744,0.541,0.09,0.481,0.963,1.173,0.331,0.12,0.391,1.053,13.977,14.528,13.328,14.437,15.051,14.723,0
Negative_4,1.582,1.09,0.257,0.47,0.513,0.834,0.727,0.962,0.299,0.342,1.218,0.812,0.214,0.427,1.112,1.282,0.748,0.15,0.47,0.919,14.002,14.724,14.406,13.202,14.313,14.926,0
Negative_5,0.552,0.872,0.378,0.901,0.291,0.988,0.756,0.697,0.436,0.668,1.976,1.104,0.436,0.465,0.465,1.133,0.349,0.087,0.494,0.901,13.926,14.045,14.135,14.114,14.868,14.965,0
Negative_6,1.0,0.742,0.323,0.775,0.129,0.742,0.646,1.162,0.387,0.71,1.452,0.871,0.387,0.742,0.807,0.871,0.71,0.194,0.452,1.13,14.447,14.867,13.935,13.921,14.882,13.714,0
Negative_7,0.572,0.858,0.619,0.858,0.762,0.81,0.715,0.572,0.333,0.762,1.143,0.905,0.238,0.619,0.715,1.143,0.81,0.381,0.238,1.239,13.542,15.278,13.234,13.927,15.221,14.506,0
Negative_8,1.198,1.144,0.49,1.089,0.163,1.18,0.962,0.98,0.218,0.49,0.944,0.962,0.309,0.381,0.69,1.452,0.672,0.127,0.762,0.581,13.596,14.439,13.929,14.89,14.476,13.877,0
Negative_9,0.859,0.859,0.396,0.892,0.33,1.024,0.661,1.123,0.33,0.826,1.288,1.057,0.429,0.462,0.925,0.793,0.628,0.099,0.495,0.826,14.195,14.652,13.601,14.667,14.767,13.816,0
Negative_10,1.325,1.013,0.331,0.682,0.39,1.305,0.857,1.247,0.429,0.331,1.753,0.76,0.195,0.409,1.227,1.675,0.74,0.039,0.195,0.896,13.746,14.173,13.636,14.52,13.802,14.323,0
Negative_11,0.396,1.018,0.566,0.396,0.849,0.679,0.339,0.849,0.849,1.414,1.584,0.509,0.509,1.131,0.905,0.509,0.622,0.453,0.566,0.849,13.808,14.07,13.876,14.633,15.127,13.493,0
Negative_12,0.579,0.909,0.455,0.579,0.496,1.116,0.496,0.661,0.289,0.537,1.571,1.075,0.372,0.496,1.199,1.653,0.455,0.331,0.372,0.992,14.085,14.897,14.173,14.078,13.895,14.239,0
Negative_13,1.08,0.81,0.574,0.911,1.08,1.181,0.81,1.08,0.169,0.405,3.104,0.54,0.101,0.135,0.472,1.518,0.439,0.203,0.101,0.844,15.08,14.295,13.268,13.766,13.369,14.668,0
Negative_14,1.271,0.635,0.484,0.908,0.212,2.36,0.938,1.634,0.454,0.514,2.209,0.424,0.333,0.333,1.513,1.815,0.938,0.212,0.182,0.938,13.172,13.968,12.906,13.831,13.675,14.142,0
Negative_15,1.459,0.608,0.638,1.094,0.395,1.581,0.517,1.855,0.365,0.426,1.672,0.517,0.213,0.547,1.672,1.368,1.003,0.213,0.304,0.76,14.06,13.81,13.681,14.395,13.948,12.898,0
Negative_16,1.778,1.55,0.205,0.73,0.274,1.482,0.775,1.072,0.342,0.16,1.733,0.228,0.137,0.205,0.73,0.752,0.616,0.114,0.137,0.616,14.936,14.534,13.368,13.702,14.48,15.345,0
Negative_17,1.197,1.05,0.213,0.574,0.049,0.705,0.623,1.542,0.459,0.18,1.854,0.328,0.131,0.574,1.148,0.886,0.574,0.41,0.344,0.886,14.539,14.271,14.566,13.688,14.71,14.498,0
Negative_18,1.204,1.174,0.206,0.617,0.352,1.204,1.174,1.292,0.44,0.176,2.055,0.793,0.147,0.382,1.409,1.321,0.44,0.147,0.206,0.499,14.432,14.447,14.028,14.302,13.525,14.028,0
Negative_19,1.004,1.265,0.297,0.521,0.297,0.893,0.818,0.781,0.335,0.26,2.157,0.372,0.223,0.781,1.302,1.265,0.93,0.223,0.149,1.376,14.227,15.241,14.09,14.303,12.992,13.899,0
Negative_20,1.116,1.087,0.176,0.852,0.118,1.204,0.705,1.263,0.323,0.47,2.174,0.441,0.118,0.441,1.263,1.645,1.146,0.235,0.235,0.999,14.584,13.68,13.496,13.832,14.72,13.68,0
Negative_21,0.52,0.936,0.312,0.416,0.624,0.936,0.312,1.144,0.208,0.52,2.08,1.144,0.312,0.624,1.144,1.56,0.936,0.208,0.208,0.312,13.487,14.925,14.368,14.115,13.927,14.722,0
Negative_22,1.156,1.028,0.385,0.514,0.642,1.028,0.514,1.285,0.642,0.642,1.285,0.771,0.257,0.257,1.413,0.899,0.642,0.128,0.899,0.771,11.968,14.499,15.219,13.756,13.37,16.03,0
Negative_23,0.786,0.662,0.704,1.035,0.331,0.828,0.786,1.076,0.869,0.786,1.324,0.331,0.207,0.621,0.786,1.697,1.159,0.414,0.207,1.117,13.933,13.752,13.398,14.9,13.65,14.641,0
Negative_24,1.132,1.302,0.906,0.679,0.736,0.736,0.396,0.962,0.113,0.226,1.471,0.453,0.34,0.566,0.453,1.302,0.566,0.226,0.566,1.132,12.487,14.619,13.87,14.262,15.104,15.396,0
