seq_name,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,druggable
Positive_0,1.23,1.013,0.398,0.687,0.362,0.687,0.615,1.266,0.398,0.362,1.736,0.615,0.542,0.362,0.759,0.868,0.796,0.108,0.325,1.447,13.611,13.976,14.238,14.682,14.573,14.347,1
Positive_1,1.429,0.733,0.77,0.55,0.586,0.623,0.33,0.66,0.257,1.392,1.502,0.696,0.33,0.989,0.77,1.722,1.063,0.33,0.366,1.246,14.014,13.769,13.434,13.908,14.3,14.234,1
Positive_2,0.959,0.648,0.863,0.623,0.528,0.911,0.648,0.911,0.408,0.959,1.487,0.623,0.456,0.72,0.911,1.079,0.887,0.336,0.695,0.695,13.791,14.513,13.799,13.691,14.252,14.605,1
Positive_3,1.684,0.86,0.339,0.8,0.218,0.909,0.594,4.738,0.109,0.291,0.582,0.691,0.158,0.327,3.369,0.727,0.545,0.073,0.158,0.569,15.283,14.955,10.36,15.585,15.31,10.768,1
Positive_4,0.705,0.876,0.769,0.748,0.502,1.133,0.406,0.983,0.395,0.705,1.453,0.716,0.321,0.63,0.876,1.122,0.737,0.214,0.545,0.929,14.36,14.382,13.939,14.699,13.931,13.924,1
Positive_5,2.123,0.962,0.382,0.637,0.099,0.325,0.424,1.514,0.17,0.75,1.811,0.297,0.198,0.594,1.146,0.863,1.047,0.368,0.396,1.373,13.708,13.778,13.956,14.15,14.552,14.374,1
Positive_6,0.946,0.991,0.563,0.788,0.586,1.149,0.586,1.104,0.293,0.496,1.149,0.653,0.203,0.473,0.743,0.856,0.811,0.315,0.473,0.834,14.559,14.972,14.104,13.935,13.851,14.566,1
Positive_7,1.393,0.597,0.199,0.398,0.398,1.194,0.995,0.796,0.199,1.194,3.382,0.995,0.199,0.199,0.796,0.597,1.194,0.0,1.194,1.194,13.088,12.361,14.303,14.876,15.278,12.985,1
Positive_8,1.717,0.987,0.215,0.773,0.343,0.859,0.429,0.987,0.386,0.515,1.502,0.515,0.472,0.515,0.944,0.816,0.472,0.129,0.515,1.073,13.967,15.518,13.5,13.308,13.896,15.646,1
Positive_9,2.008,0.65,0.311,0.424,0.226,0.537,0.594,1.499,0.453,0.877,2.8,0.226,0.453,1.018,1.018,1.612,0.848,0.339,0.594,1.471,14.232,13.882,12.822,13.388,14.16,13.558,1
Positive_10,1.638,1.495,0.356,0.855,0.214,0.855,0.427,0.783,0.285,0.427,1.638,0.0,0.071,0.356,1.068,0.712,0.641,0.285,0.142,1.139,15.577,15.764,14.78,12.317,13.977,14.198,1
Positive_11,0.445,0.795,0.922,0.763,0.7,0.731,0.413,1.24,0.286,1.24,0.7,0.7,0.223,0.413,0.668,1.526,1.081,0.382,0.541,1.145,13.893,14.422,14.243,14.601,13.826,14.101,1
Positive_12,1.009,0.969,0.277,1.068,0.376,0.574,0.514,1.325,0.277,0.277,1.226,0.435,0.178,0.87,1.167,0.87,0.989,0.277,0.534,0.771,14.301,13.28,14.769,14.755,14.462,14.448,1
Positive_13,2.525,1.476,0.194,0.155,0.427,0.194,0.311,1.592,0.272,0.311,2.564,0.039,0.272,0.466,1.088,1.554,0.505,0.388,0.155,1.126,13.467,14.092,13.701,14.435,13.865,14.826,1
Positive_14,1.292,0.914,0.347,0.441,0.725,0.788,0.914,1.229,0.315,0.441,1.702,0.536,0.347,0.441,1.135,0.946,0.82,0.315,0.41,0.756,13.111,15.037,14.704,14.904,13.83,13.6,1
Positive_15,1.207,1.119,0.294,0.824,0.471,0.854,0.589,1.766,0.324,0.5,1.354,0.736,0.353,0.442,1.914,1.266,0.471,0.147,0.236,0.824,13.33,14.499,13.714,14.263,13.581,14.922,1
Positive_16,1.169,0.39,1.169,0.39,0.39,0.0,1.559,1.559,0.39,2.338,3.507,0.39,0.78,2.728,0.39,3.897,1.559,0.0,0.0,1.169,11.447,11.672,12.778,12.671,14.323,13.337,1
Positive_17,1.163,0.776,0.646,0.646,0.776,0.517,0.646,0.776,0.302,1.336,1.81,0.517,0.517,0.948,0.776,1.12,1.077,0.345,0.646,1.379,13.199,14.202,13.893,13.324,14.16,14.503,1
Positive_18,1.209,1.105,0.455,0.715,0.312,0.78,0.442,1.209,0.364,0.728,1.638,0.455,0.312,0.598,1.248,1.339,0.767,0.156,0.364,0.871,14.094,13.966,13.974,13.936,14.787,14.177,1
Positive_19,1.303,1.098,0.515,0.343,0.515,0.858,0.446,0.995,0.069,0.652,1.852,0.823,0.412,0.549,1.063,1.201,1.201,0.446,0.549,0.892,13.924,14.871,13.474,13.096,14.082,14.776,1
Positive_20,1.454,0.727,0.318,0.681,0.591,0.5,0.273,0.954,0.5,0.727,2.589,0.681,0.5,0.681,0.727,1.544,0.772,0.363,0.5,1.272,13.957,13.778,14.023,13.524,14.317,14.047,1
Positive_21,0.991,0.757,0.408,0.495,0.495,0.932,0.612,1.224,0.612,0.787,1.369,0.757,0.553,0.816,0.903,0.903,0.816,0.146,0.32,1.078,14.473,14.832,13.814,13.05,14.293,14.563,1
Positive_22,1.104,0.552,1.552,0.655,0.276,0.828,1.035,1.0,0.31,0.897,1.552,0.655,0.173,0.483,1.38,1.69,1.828,0.276,0.621,1.276,13.007,12.989,14.113,14.367,13.624,13.76,1
Positive_23,1.369,1.004,0.867,0.502,0.593,0.411,0.502,0.73,0.228,1.186,2.145,0.593,0.274,0.684,0.502,1.232,1.186,0.319,0.593,1.46,14.465,14.285,12.777,12.949,14.137,15.005,1
Positive_24,1.799,0.962,0.349,0.683,0.112,0.293,0.391,1.353,0.181,0.642,1.757,0.307,0.404,0.642,1.227,0.837,1.158,0.418,0.377,1.423,14.158,14.227,13.79,13.982,14.296,14.234,1
Positive_25,1.183,0.86,1.398,0.645,0.215,0.753,0.968,0.323,0.323,0.968,3.011,0.753,0.43,0.538,1.291,0.753,1.183,0.215,0.108,0.43,13.838,15.122,13.095,13.234,14.157,14.206,1
Positive_26,1.461,0.739,0.361,0.667,0.487,0.992,1.28,1.731,0.343,0.415,1.569,0.721,0.397,0.505,1.334,1.461,0.667,0.144,0.595,0.721,13.645,14.151,13.329,13.91,14.026,14.35,1
Positive_27,1.012,0.716,0.519,0.617,0.37,0.963,0.765,1.062,0.519,0.741,1.555,0.568,0.346,0.617,1.136,1.012,0.79,0.222,0.642,1.062,13.61,13.877,14.105,14.478,14.174,14.524,1
Positive_28,0.883,0.917,0.442,0.748,0.51,1.155,0.578,1.189,0.204,0.612,1.563,1.019,0.612,0.68,1.325,1.223,0.815,0.034,0.374,0.544,14.076,14.832,13.899,13.66,13.968,14.138,1
Positive_29,1.561,0.694,0.833,0.694,0.555,0.729,0.555,0.867,0.278,1.11,1.388,0.347,0.451,0.937,1.041,1.318,0.798,0.52,0.451,1.422,14.165,14.347,13.669,13.503,13.826,13.942,1
Positive_30,1.883,0.834,0.457,0.484,0.403,0.914,0.457,1.399,0.188,0.646,1.183,0.753,0.242,0.619,0.699,0.834,0.699,0.188,0.323,1.183,13.404,15.39,14.404,13.246,14.461,14.706,1
Positive_31,0.527,1.251,0.461,0.527,1.185,1.054,0.856,0.922,0.724,0.527,1.054,1.383,0.527,0.395,0.988,0.988,0.395,0.329,0.461,0.724,15.123,12.793,13.328,14.084,14.977,14.42,1
Positive_32,2.013,0.393,0.344,0.442,0.295,0.982,0.589,1.522,0.393,0.884,1.669,1.129,0.393,0.491,0.884,1.031,0.736,0.245,0.196,1.473,14.14,15.017,14.027,13.415,13.729,13.568,1
Positive_33,1.357,0.905,0.641,0.452,0.528,0.452,0.566,0.867,0.226,0.829,1.169,0.679,0.603,0.905,0.867,1.433,1.018,0.566,0.377,1.319,14.214,14.198,13.315,13.678,15.143,13.694,1
Positive_34,1.24,0.763,0.254,0.413,0.318,1.176,0.763,1.462,0.286,1.017,1.875,0.477,0.667,1.271,1.589,1.208,0.636,0.191,0.445,1.081,13.704,13.961,14.313,12.66,13.739,14.493,1
Positive_35,1.131,0.609,0.696,0.406,0.406,0.725,0.493,1.305,0.377,0.696,1.711,0.696,0.667,0.928,1.102,1.305,0.783,0.319,0.464,1.189,13.943,14.143,13.823,15.063,13.631,13.39,1
Positive_36,0.742,0.905,0.905,0.557,0.487,0.858,0.673,1.044,0.348,0.441,1.438,0.533,0.441,0.812,1.136,1.577,0.788,0.301,0.719,0.812,13.87,14.049,13.172,13.738,15.042,14.615,1
Positive_37,1.737,1.051,0.228,0.777,0.274,1.051,0.366,1.508,0.32,0.183,1.92,0.411,0.32,0.594,0.914,0.823,0.731,0.046,0.274,1.462,14.548,14.63,14.338,13.236,14.121,14.136,1
Positive_38,0.745,0.82,0.522,0.708,0.671,1.118,0.633,0.969,0.522,0.932,1.714,1.118,0.484,0.522,1.491,1.491,1.341,0.037,0.41,0.708,14.073,14.615,12.928,13.615,13.861,13.954,1
Positive_39,0.69,0.784,0.746,0.672,0.896,1.045,0.578,1.157,0.448,0.411,0.896,0.914,0.205,0.392,1.288,1.045,1.138,0.355,0.56,0.896,13.853,13.362,13.891,14.941,13.83,15.009,1
Positive_40,0.858,0.858,0.621,0.799,0.71,1.301,0.562,1.183,0.266,0.532,1.153,0.976,0.237,0.621,0.562,0.858,1.065,0.178,0.414,0.68,14.318,14.426,13.466,14.498,14.426,14.433,1
Positive_41,1.345,0.391,0.477,0.738,0.694,0.868,0.304,1.562,0.347,1.128,1.259,1.389,0.477,0.651,0.868,0.998,0.955,0.087,0.174,1.562,14.314,14.265,13.72,14.061,13.703,13.663,1
Positive_42,2.222,0.741,0.58,0.547,0.258,0.869,0.322,1.707,0.161,0.966,2.64,0.419,0.354,0.708,0.869,1.127,0.773,0.161,0.29,1.707,13.265,13.927,13.37,13.326,14.38,14.311,1
Positive_43,1.95,0.65,0.867,0.488,0.758,0.379,0.596,1.029,0.271,1.029,2.438,0.542,0.433,1.029,0.704,0.921,1.083,0.271,0.65,1.896,13.713,13.146,13.947,12.769,13.929,14.513,1
Positive_44,1.523,1.066,0.457,1.142,0.381,0.761,0.152,1.523,0.381,0.609,1.446,0.457,0.305,0.228,0.228,1.37,0.914,0.076,0.152,0.837,14.245,13.544,13.656,13.951,15.722,14.875,1
Positive_45,1.665,1.048,0.37,0.74,0.123,0.617,0.37,1.357,0.555,0.432,1.357,0.247,0.432,0.74,1.172,0.925,0.74,0.37,0.493,0.987,14.31,15.754,13.971,12.505,14.045,14.678,1
Positive_46,1.283,0.865,0.686,0.478,0.507,0.776,0.507,0.597,0.239,0.836,1.552,1.134,0.328,0.507,0.895,1.224,1.283,0.388,0.656,1.134,13.367,14.169,14.232,13.669,13.859,14.828,1
Positive_47,0.857,0.772,0.772,0.857,0.486,0.772,0.657,0.972,0.486,0.629,1.572,0.486,0.429,0.886,0.943,1.458,0.543,0.4,0.657,0.486,13.011,14.576,14.463,14.047,14.395,14.387,1
Positive_48,1.015,1.054,0.741,0.819,0.273,0.429,0.78,1.288,0.351,0.663,1.639,0.429,0.39,0.585,1.327,1.21,0.585,0.117,0.663,1.171,14.002,14.064,13.769,14.336,14.196,14.103,1
Positive_49,1.161,1.066,0.335,0.599,0.347,0.934,0.85,1.114,0.299,0.455,1.533,0.443,0.204,0.563,1.281,0.97,0.766,0.251,0.359,0.874,14.498,14.037,13.871,14.195,14.375,14.62,1
Positive_50,0.663,0.784,0.694,0.875,0.633,0.784,0.694,1.055,0.362,0.814,1.598,0.875,0.422,0.513,0.694,1.086,0.905,0.271,0.422,1.206,14.03,14.836,14.161,13.677,13.47,14.475,1
Positive_51,1.304,1.026,0.485,0.555,0.471,0.832,0.527,1.248,0.361,0.707,2.094,0.61,0.374,0.693,0.693,0.874,0.804,0.111,0.471,1.276,14.246,13.85,13.928,13.749,14.277,14.432,1
Positive_52,1.021,0.66,0.72,0.78,1.081,0.72,0.66,0.9,0.72,0.18,1.621,0.9,0.54,0.42,0.72,1.081,0.78,0.84,0.36,0.6,13.723,14.786,14.396,13.508,14.013,14.266,1
Positive_53,0.497,0.923,0.71,0.852,0.426,0.923,0.71,1.632,0.213,0.852,1.207,0.781,0.355,0.142,0.852,0.923,0.639,0.284,0.781,0.994,12.935,13.582,14.265,14.992,14.816,14.72,1
Positive_54,0.934,1.556,0.519,0.311,0.415,0.415,0.415,1.141,0.311,0.311,0.83,1.348,0.104,0.104,0.726,0.622,0.83,0.0,0.415,1.556,15.717,14.945,14.27,16.103,13.01,13.093,1
Positive_55,0.731,0.594,0.411,0.868,0.137,0.868,0.229,1.645,0.366,1.051,1.508,1.097,0.183,0.411,1.051,0.914,1.005,0.091,0.411,1.142,14.31,14.214,13.839,13.839,14.435,14.648,1
Positive_56,1.067,0.747,0.107,0.427,0.107,0.96,0.32,1.6,0.427,0.427,1.6,0.107,0.32,0.853,0.533,1.067,1.6,0.427,0.747,0.853,14.923,14.087,14.444,13.836,13.894,14.523,1
Positive_57,1.97,1.216,0.252,0.419,0.461,0.461,0.377,1.006,0.377,0.503,2.054,0.168,0.419,0.587,1.09,1.467,0.713,0.461,0.294,1.258,13.571,14.396,13.634,14.108,14.637,14.1,1
Positive_58,1.27,1.226,0.438,0.35,0.613,0.569,0.35,0.92,0.307,0.482,2.584,0.35,0.569,1.095,0.788,1.445,0.613,0.175,0.526,1.051,14.253,15.055,13.255,13.121,13.797,14.796,1
Positive_59,0.916,0.987,0.574,0.395,0.359,0.467,0.628,0.951,0.808,0.503,1.831,0.574,0.18,0.718,1.185,1.472,0.7,0.287,0.521,0.88,13.838,14.749,14.689,13.263,14.368,14.159,1
Positive_60,0.941,0.906,0.593,0.453,0.558,0.767,0.697,0.837,0.488,0.906,2.196,0.383,0.383,0.906,0.627,1.22,0.558,0.418,0.418,1.08,14.162,14.729,13.595,14.024,13.733,14.423,1
Positive_61,0.858,0.986,0.413,0.668,0.827,0.954,0.731,1.431,0.477,0.54,1.494,0.604,0.191,0.445,0.763,0.986,0.763,0.286,0.382,1.017,13.453,14.697,13.979,14.646,14.26,14.149,1
Positive_62,1.883,0.665,0.498,1.052,0.222,0.803,0.526,1.523,0.581,1.218,1.135,0.471,0.443,0.388,0.775,0.637,1.135,0.194,0.249,1.301,14.458,14.239,14.176,13.705,13.862,13.862,1
Positive_63,2.074,1.134,0.259,0.81,0.421,0.745,0.389,1.49,0.389,0.13,1.847,0.13,0.13,0.616,1.037,0.972,0.389,0.259,0.097,1.361,14.024,13.715,14.405,14.442,14.178,14.559,1
Positive_64,2.161,1.506,0.393,0.327,0.393,0.491,0.36,1.539,0.098,0.524,1.309,0.262,0.164,0.884,0.851,1.277,0.491,0.262,0.491,1.342,12.44,14.118,14.292,14.171,14.61,15.245,1
Positive_65,0.953,0.344,0.609,0.873,0.45,1.27,0.688,0.953,0.503,0.635,1.482,1.138,0.318,0.582,1.482,1.297,1.111,0.371,0.556,0.847,13.744,13.25,13.522,14.18,14.081,14.764,1
Positive_66,0.895,0.733,0.325,0.651,0.387,1.058,0.488,1.261,0.448,0.733,1.078,0.733,0.305,0.61,0.895,0.814,0.895,0.346,0.549,1.058,13.813,14.99,14.177,13.877,14.498,14.384,1
Positive_67,1.058,0.82,0.619,0.562,0.372,0.972,0.6,1.563,0.381,0.629,1.563,0.648,0.391,0.496,1.201,1.334,0.705,0.314,0.353,0.858,14.166,13.918,13.78,14.173,14.335,14.189,1
Positive_68,2.367,1.076,0.215,0.584,0.338,0.768,0.154,1.875,0.062,0.338,2.244,0.154,0.369,0.768,1.107,0.861,0.461,0.123,0.369,1.26,14.082,13.137,14.717,13.447,14.516,14.609,1
Positive_69,0.709,0.645,1.032,0.613,0.774,1.387,0.451,1.161,0.322,0.806,0.903,0.903,0.194,0.677,0.484,0.871,1.0,0.226,0.516,1.193,14.65,14.687,13.297,14.278,14.68,13.542,1
Positive_70,1.385,1.385,0.346,0.476,0.563,0.476,0.519,0.909,0.217,0.779,2.251,0.13,0.476,0.736,0.649,1.645,0.866,0.217,0.519,0.952,13.623,13.692,12.832,14.7,14.413,15.242,1
Positive_71,0.757,0.883,0.41,0.946,0.757,1.072,0.473,1.104,0.568,0.568,1.545,0.757,0.252,0.473,0.631,1.135,0.568,0.473,0.252,0.915,14.072,14.624,13.796,14.283,14.37,14.319,1
Positive_72,1.601,0.686,0.392,0.359,0.49,0.457,0.653,1.47,0.294,0.784,2.352,0.327,0.523,1.143,0.947,1.339,0.784,0.425,0.392,1.078,12.983,14.17,14.632,13.461,14.071,14.187,1
Positive_73,2.515,1.352,0.413,0.826,1.014,0.225,0.451,1.577,0.075,0.3,2.065,0.15,0.225,0.488,2.59,0.826,0.563,0.225,0.263,1.389,13.14,14.288,14.113,13.157,14.306,13.464,1
Positive_74,1.567,1.343,0.951,0.448,0.616,0.28,0.672,1.511,0.392,0.672,1.679,0.0,0.224,0.56,0.84,0.84,0.504,0.168,0.112,1.567,13.636,14.562,14.301,13.681,14.644,14.233,1
Positive_75,0.939,0.724,0.782,0.606,0.528,0.724,0.743,0.724,0.352,0.978,1.917,0.43,0.469,0.939,0.9,1.271,0.978,0.293,0.724,1.388,13.512,14.045,13.66,13.414,14.694,14.267,1
Positive_76,1.303,0.462,0.504,0.714,0.63,0.798,0.252,1.597,0.294,0.924,1.218,1.344,0.336,0.672,0.84,0.882,1.008,0.084,0.252,1.639,14.7,14.416,13.755,13.928,13.873,13.573,1
