seq_name,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,druggable
Positive_0,0.7,0.851,0.757,0.889,0.17,0.908,0.511,0.946,0.265,0.719,0.908,0.719,0.378,0.605,0.624,0.87,0.851,0.284,0.549,1.343,14.456,14.317,14.913,13.999,14.49,13.978,1
Positive_1,2.012,0.38,0.634,0.602,0.206,0.681,0.555,1.854,0.253,1.109,1.886,0.982,0.555,0.57,0.84,0.998,1.125,0.063,0.555,1.347,13.75,14.533,13.363,13.431,14.085,13.629,1
Positive_2,1.384,0.922,0.615,0.461,0.154,0.922,1.23,0.922,0.461,0.0,1.691,1.384,0.461,0.615,1.691,1.845,0.922,0.0,0.461,0.461,15.408,14.121,12.07,15.408,11.107,15.283,1
Positive_3,1.157,0.657,0.532,0.626,0.407,0.25,0.469,1.157,0.532,0.876,1.721,0.563,0.25,1.001,0.657,0.657,0.782,0.626,0.907,1.032,14.236,14.927,13.582,13.671,14.451,14.273,1
Positive_4,1.099,0.63,0.517,0.744,0.21,1.002,0.469,1.261,0.485,1.051,1.632,0.905,0.501,0.372,0.776,0.937,0.744,0.097,0.582,0.954,13.919,14.914,14.323,13.784,14.211,13.882,1
Positive_5,0.783,0.812,0.493,0.725,0.377,1.277,0.551,0.812,0.29,0.493,1.364,1.016,0.29,0.812,0.667,1.045,0.783,0.116,0.609,0.9,13.791,14.964,14.026,14.004,14.985,14.012,1
Positive_6,0.78,0.819,0.429,0.858,0.234,0.858,0.624,0.858,0.429,0.702,1.443,1.092,0.195,0.507,0.585,0.897,0.663,0.195,0.741,0.936,14.691,15.314,14.525,14.137,13.5,13.985,1
Positive_7,0.568,1.136,0.114,0.568,0.455,1.136,0.568,1.023,0.455,1.023,0.682,1.25,0.341,0.455,0.795,0.114,0.568,0.227,0.455,0.114,14.875,14.929,15.194,13.767,15.393,13.797,1
Positive_8,1.109,1.219,0.443,0.665,0.665,0.887,0.554,1.552,0.554,0.554,0.887,0.665,0.222,0.554,0.443,0.333,0.887,0.0,0.443,1.109,14.819,14.42,14.042,13.884,14.812,14.276,1
Positive_9,0.791,0.475,0.791,0.528,0.369,0.95,0.422,0.633,0.844,1.108,1.636,0.897,0.317,1.372,0.739,0.58,0.791,0.58,1.055,0.58,14.44,14.943,13.374,13.42,14.765,13.598,1
Positive_10,0.884,0.523,0.683,0.603,0.322,0.844,0.362,1.085,0.402,1.447,1.608,1.206,0.322,0.402,0.643,1.326,0.925,0.322,0.241,1.166,14.503,14.006,14.274,14.021,14.029,13.853,1
Positive_11,1.254,0.697,0.836,0.604,0.372,0.836,0.743,0.79,0.372,0.836,2.322,0.882,0.325,0.882,0.604,1.208,1.022,0.139,0.418,0.697,13.692,14.286,13.914,13.367,14.064,14.84,1
